ASIN,price,quantity,open_date,item_is_marketplace,featured_offer_buy_box_percentage,Sales Rank: Current,Reviews: Rating,Reviews: Review Count,Buy Box 🚚: Stock,Buy Box: Is FBA,Brand,Prime Eligible (Buy Box),Subscribe and Save,Last Price Change,Buy Box Seller
B086J5DP8T,8.29,99,2022-11-05 12:02:35,y,0.0,17857.0,4.3,12.0,99.0,no,Babylove,no,no,2024/04/10 03:02,0
B0742CF87B,7.95,0,2022-11-05 22:03:00,y,5.54,97327.0,3.6,20.0,0.0,no,After Eight,no,no,2019/01/23 14:54,1
B0B5ZX1L4W,9.49,390,2022-11-15 20:14:07,y,31.5,1474.0,4.4,939.0,12.0,yes,BIOBLAS,yes,no,2024/05/30 18:40,1
B00G0T5L18,7.99,0,2022-11-24 21:40:51,y,32.06,4315.0,4.7,582.0,20.0,yes,HELA,yes,yes,2024/05/16 20:36,1
B0185I6J12,24.3,30,2022-12-03 20:43:32,y,2.01,23404.0,4.3,68.0,68.0,no,Sti,no,no,2024/04/24 07:48,1
B0182KVQKM,9.69,48,2022-12-03 20:48:07,y,34.78,106882.0,3.7,24.0,137.0,no,Sti,no,no,2024/06/02 15:58,1
B01BFBEUOO,8.49,0,2022-12-03 21:00:11,y,61.86,81850.0,4.1,75.0,64.0,no,Sti Casa Mayor,no,no,2024/04/26 12:50,1
B0769W89L5,13.99,0,2022-12-15 14:10:12,y,17.54,139347.0,3.9,28.0,0.0,no,Ferrero,no,no,2024/06/03 16:16,1
B01NCB49Z8,18.98,0,2022-12-15 21:45:46,y,1.52,11541.0,4.6,56.0,0.0,no,Ferrero,no,no,2024/06/04 10:56,1
B07Y16QKG9,19.44,124,2022-12-21 21:14:11,y,82.62,27812.0,4.4,625.0,5.0,no,Uzman-Versand,no,no,2024/05/02 11:52,1
B0784D7B51,9.78,70,2022-12-25 13:24:08,y,18.98,22507.0,4.5,78.0,70.0,no,Babylove,no,yes,2024/06/03 13:22,0
B004RRKG74,16.89,49,2022-12-28 14:02:37,y,3.75,1883.0,4.8,488.0,4.0,no,Tempo,no,no,2024/06/03 16:40,1
B073XL3VBX,14.89,0,2023-01-02 20:39:45,y,4.03,14767.0,4.3,121.0,1.0,no,denk-mit,no,no,2024/06/03 05:08,1
B003RFWNWS,9.79,15,2023-01-07 21:27:35,y,0.0,419.0,4.6,1456.0,23.0,yes,Center Shock,yes,yes,2024/06/03 02:56,1
B000OZLA50,9.89,9,2023-01-07 21:29:00,y,0.0,1189.0,4.6,1256.0,9.0,yes,Center Shock,yes,yes,2024/06/04 05:52,1
B01AY0G84W,35.59,48,2023-01-07 21:47:12,y,0.0,9932.0,4.6,51.0,1000.0,no,Sidolin,no,no,2024/06/03 10:52,1
B00G0T1URM,7.95,0,2023-01-07 22:10:34,y,98.13,72190.0,4.4,20.0,33.0,yes,Teekanne,yes,no,2024/05/28 02:40,1
B0BS9PQPP4,8.49,0,2023-01-13 12:52:16,y,100.0,84661.0,4.0,46.0,0.0,no,Ben's Garden,yes,no,2024/03/11 17:28,0
B0BS9Q7PJ1,4.99,0,2023-01-13 12:52:16,y,100.0,84661.0,3.9,46.0,0.0,no,Ben's Garden,yes,no,2024/02/21 07:16,0
B0BRYP9JWL,8.95,0,2023-01-16 12:35:44,y,100.0,109340.0,4.6,32.0,0.0,no,Ben's Garden,yes,no,2023/12/02 13:08,0
B0BRYPMBDT,16.89,0,2023-01-16 12:43:11,y,98.81,97185.0,4.3,37.0,0.0,no,Ben's Garden,yes,no,2023/12/17 10:48,0
B0BRYNL25G,16.89,0,2023-01-16 19:24:13,y,100.0,109340.0,5.0,3.0,0.0,no,Ben's Garden,yes,no,2023/11/04 16:00,0
B0BRYMW4N2,9.49,0,2023-01-16 19:24:13,y,88.24,97185.0,4.3,34.0,0.0,no,Ben's Garden,yes,no,2023/11/30 06:24,0
B00NE3C0UI,9.19,0,2023-01-18 12:08:02,y,12.88,3555.0,4.7,763.0,5.0,yes,UNIVER,yes,no,2024/06/04 08:46,1
B00G8HW0DO,9.85,0,2023-01-18 12:32:19,y,7.32,4217.0,4.6,617.0,5.0,yes,UNIVER,yes,no,2024/06/04 06:28,1
B00G8HZ89W,9.49,0,2023-01-18 12:37:38,y,9.18,3993.0,4.7,569.0,5.0,yes,UNIVER,yes,no,2024/06/04 08:46,1
B00G8H62I8,9.89,0,2023-01-18 12:50:21,y,0.61,23459.0,4.7,509.0,173.0,no,UNIVER,yes,no,2024/06/04 05:40,1
B004YXNGVY,5.19,0,2023-01-18 13:02:37,y,42.94,23459.0,4.6,46.0,5.0,yes,Univer Zrt.,yes,no,2024/05/31 02:36,1
B00IMMIOY2,6.15,0,2023-01-18 13:22:23,y,95.09,69022.0,4.3,57.0,5.0,yes,UNIVER,yes,no,2024/05/28 20:42,1
B00IMMKQ2U,6.09,0,2023-01-18 13:28:09,y,80.49,15647.0,4.3,67.0,5.0,yes,UNIVER,yes,no,2024/06/02 16:28,1
B08B55G8SV,4.95,0,2023-01-18 13:57:11,y,78.33,33560.0,4.4,27.0,62.0,yes,UNIVER,yes,no,2024/05/08 16:44,1
B08B55TC78,4.8,0,2023-01-18 13:58:52,y,97.7,55751.0,5.0,17.0,81.0,yes,ebaney,yes,no,2024/04/29 03:00,1
B07LF7T6SS,16.49,0,2023-01-18 15:42:59,y,0.0,38455.0,4.2,39.0,0.0,no,BabyDream,no,no,2024/05/15 14:56,0
B0BBRC3DRZ,8.49,0,2023-01-19 12:39:46,y,0.0,3609.0,4.6,196.0,5.0,yes,Odol-med 3,yes,yes,2024/05/31 21:42,1
B081PNHK2S,39.03,0,2023-01-20 15:40:50,y,5.38,88771.0,4.7,7.0,27.0,no,Ketschup,no,no,2024/05/26 04:36,1
B003TEHT3U,8.09,0,2023-01-20 15:42:49,y,71.81,2624.0,4.6,593.0,0.0,yes,HELA,yes,no,2024/05/31 12:40,1
B0036HJL9U,21.49,0,2023-01-20 15:44:11,y,33.25,3047.0,4.6,594.0,0.0,no,HELA,no,no,2024/06/03 19:52,0
B00EEZ2U6E,9.89,0,2023-01-20 20:35:32,y,42.45,23665.0,4.4,107.0,45.0,yes,Caykur,yes,yes,2024/06/03 13:44,1
B0BNQNQ5QV,9.99,0,2023-01-20 20:39:01,y,42.29,13289.0,4.3,56.0,0.0,yes,Caykur,yes,no,2024/05/31 15:48,1
B00XGVF03W,22.85,9,2023-01-20 20:43:08,y,34.88,63484.0,4.4,31.0,12.0,no,Selen,no,no,2024/06/04 08:42,1
B00XGVEYZW,15.49,10,2023-01-20 20:48:25,y,12.5,212914.0,4.0,7.0,10.0,no,caykur,no,no,2024/05/31 21:36,1
B01MRA3N8T,9.85,92,2023-01-20 20:51:05,y,91.67,139149.0,3.8,23.0,92.0,no,Caykur,no,no,2024/06/04 10:56,1
B0BR45W2FS,15.49,5,2023-01-20 20:57:41,y,100.0,300376.0,0.0,0.0,10.0,no,eworldpartner,no,no,2024/05/29 04:20,1
B00OLKFW62,9.99,0,2023-01-22 20:49:52,y,0.0,55694.0,4.5,339.0,0.0,no,Tanay,no,no,2024/06/04 10:56,0
B00MCO7J4C,8.25,0,2023-01-22 20:53:03,y,8.22,3609.0,4.5,418.0,165.0,yes,Duuous,yes,no,2024/06/02 21:00,1
B0140EDRLK,5.27,0,2023-01-25 21:46:36,y,5.15,6445.0,4.3,431.0,0.0,no,Ferrero,yes,no,2024/06/04 02:52,0
B0BTK2DCN2,9.95,1147,2023-01-31 22:14:45,y,99.68,2314.0,4.6,55.0,316.0,yes,Fersan,yes,no,2024/06/04 05:50,1
B016V2KDBQ,14.89,0,2023-02-01 09:58:33,y,5.64,7344.0,4.4,2661.0,0.0,no,HARIBO,no,no,2024/05/26 17:04,0
B0BTZ8ZVKK,15.89,369,2023-02-06 17:05:54,y,99.7,12735.0,4.7,24.0,381.0,no,Fersan,no,no,2024/06/02 11:26,1
B07K6RRRGR,6.89,0,2023-02-07 18:15:32,y,41.9,32950.0,4.0,20.0,0.0,no,Babylove,yes,no,2024/06/04 01:40,0
B00G8HC9NK,9.55,0,2023-02-09 09:11:50,y,10.02,20616.0,4.7,380.0,5.0,no,UNIVER,no,no,2024/06/04 05:40,1
B009GDI8OW,55.34,0,2023-02-15 21:59:44,y,1.48,7940.0,4.7,752.0,96.0,no,Bünting Tee,no,no,2024/06/04 06:16,1
B0BWBSKVJZ,19.89,0,2023-02-20 20:33:32,y,100.0,30269.0,4.6,3.0,46.0,no,HELA,no,no,2024/05/30 18:00,1
B00BLNRCJC,7.15,0,2023-02-22 20:10:15,y,18.74,89504.0,4.3,615.0,434.0,yes,Öncü,yes,no,2024/06/03 20:14,1
B000TDBZS4,8.75,15,2023-02-26 21:22:11,y,0.0,69521.0,4.6,70.0,15.0,no,Bünting Tee,no,no,2024/06/04 10:56,0
B00PQRKUM0,7.18,0,2023-03-04 19:42:46,y,0.45,354.0,4.2,161.0,53.0,yes,Gülcan,yes,no,2024/05/12 05:16,1
B005UNH0G4,5.35,0,2023-03-04 19:52:54,y,8.8,354.0,3.7,1623.0,241.0,yes,Falim,yes,no,2024/06/04 06:58,1
B00QVEGR9W,6.49,0,2023-03-04 20:01:00,y,14.76,31467.0,4.3,79.0,55.0,yes,Gülcan,yes,no,2024/05/17 05:20,1
B00QVDOVG4,6.89,0,2023-03-04 20:03:39,y,2.45,23046.0,4.3,121.0,66.0,yes,Gülcan,yes,yes,2024/05/26 00:00,1
B00JBGBMF6,8.99,0,2023-03-04 20:14:31,y,17.84,23046.0,3.7,213.0,7.0,no,Dora Life,no,no,2024/05/25 23:58,1
B008BSIQJA,5.35,0,2023-03-04 20:24:30,y,0.0,331.0,3.7,1622.0,480.0,yes,Falim,yes,no,2024/06/04 10:14,1
B0054EDY8W,5.49,0,2023-03-04 20:48:49,y,0.38,11190.0,4.1,40.0,0.0,no,Falim,yes,no,2024/04/08 13:52,0
B087D53K5P,8.89,0,2023-03-04 20:51:09,y,1.89,331.0,3.7,1618.0,50.0,no,Falim,no,no,2024/05/28 03:50,1
B01N8RK0NA,15.49,20,2023-03-04 21:06:49,y,31.06,36325.0,4.3,144.0,6.0,no,Sti Casa Mayor,no,no,2024/06/02 16:00,1
B00BZZC7EG,8.39,50,2023-03-04 21:10:02,y,84.07,25981.0,4.4,100.0,2.0,no,Sti Casa Mayor,no,no,2024/03/25 23:04,1
B00TSA01UC,8.29,0,2023-03-04 21:15:34,y,62.14,41931.0,4.3,82.0,145.0,no,Sti Casa Mayor,no,no,2024/03/20 10:08,1
B0BYTNDK39,38.69,28,2023-03-17 22:04:36,y,100.0,119632.0,5.0,3.0,31.0,no,Bioxsine,no,no,2024/04/08 13:40,1
B0BZFTVL8K,19.89,37,2023-03-23 20:43:48,y,93.39,24213.0,4.0,14.0,73.0,no,HELA,no,no,2024/05/04 02:32,1
B004H5D5NS,11.89,0,2023-04-10 15:36:08,y,56.2,1878.0,4.5,214.0,30.0,yes,Penaten,yes,no,2024/06/04 09:20,1
B075RPZ25Q,12.98,0,2023-04-12 23:09:41,y,0.0,3469.0,4.5,209.0,0.0,no,Babylove,no,no,2024/06/03 19:28,1
B074VDPSC6,9.45,0,2023-04-12 23:11:19,y,0.0,3469.0,4.5,209.0,0.0,no,Babylove,yes,no,2024/05/22 14:52,0
B074TXQZY3,14.95,0,2023-04-12 23:13:03,y,7.88,3469.0,4.6,91.0,7.0,no,Babylove,no,no,2024/06/04 10:28,1
B0084DD2XM,9.99,0,2023-04-14 09:23:39,y,9.83,140.0,4.7,5193.0,23.0,yes,Center Shock,yes,yes,2024/06/02 05:50,1
B07S96TVMY,8.98,0,2023-04-14 09:28:04,y,10.9,556.0,4.5,1850.0,23.0,yes,Center Shock,yes,no,2024/05/18 06:42,1
B01D1PEBZA,9.99,0,2023-04-14 09:34:11,y,12.21,8496.0,4.6,385.0,324.0,no,Center Shock,no,no,2024/06/04 10:28,1
B07B12HY2V,33.95,73,2023-05-14 00:35:38,y,27.73,5183.0,4.7,348.0,8.0,no,Funny-Frisch,no,no,2024/06/04 09:18,1
B07C5K7Q56,19.95,0,2023-05-19 07:10:51,y,41.71,8258.0,4.4,262.0,51.0,no,Funny-Frisch,no,no,2024/06/04 07:28,1
B09LQ99YQS,15.29,51,2023-05-21 21:48:28,y,98.92,23657.0,4.3,9.0,34.0,no,Bioxsine,no,no,2024/06/02 09:24,1
B0BYW3RH4Z,12.9,0,2023-05-28 12:23:29,y,19.7,7630.0,4.5,19.0,0.0,no,Lorenz Snack World,no,no,2023/05/26 01:32,0
B09J8J4QJ8,14.0,18,2023-06-01 14:19:03,y,40.0,260314.0,5.0,1.0,20.0,no,Bioxsine,no,no,2024/03/15 10:44,1
B0BRCWXSZ8,14.9,12,2023-06-01 15:40:34,y,1.59,120726.0,0.0,0.0,6.0,no,Bioxsine,no,no,2024/04/19 01:08,1
B0BRCVWYLD,13.49,88,2023-06-01 15:44:14,y,0.8,66098.0,5.0,2.0,97.0,no,Bioxsine,no,no,2024/05/14 23:12,1
B09J16FH3D,9.9,20,2023-06-01 15:47:16,y,66.67,424152.0,4.0,1.0,20.0,no,Bioxsine,no,no,2024/03/15 10:44,1
B0BRCZBLQQ,12.9,89,2023-06-01 15:49:23,y,0.0,29629.0,4.3,5.0,104.0,no,Bioxsine,no,no,2024/05/08 17:48,1
B0BRCYF6PF,12.2,76,2023-06-01 15:50:42,y,52.75,17644.0,5.0,4.0,92.0,no,Bioxsine,no,no,2024/04/14 22:32,1
B08NW6CQJ2,13.49,0,2023-06-01 15:54:28,y,100.0,188809.0,3.7,10.0,0.0,no,Bioxsine,no,no,2024/05/03 20:40,0
B08NW5WTZC,11.04,0,2023-06-01 16:05:46,y,59.85,15746.0,4.3,105.0,10.0,no,Bioxsine,no,no,2024/06/04 10:56,1
B004KSGXUO,26.15,0,2023-06-15 09:50:38,y,0.0,19816.0,4.4,327.0,0.0,no,Lorenz Snack World,yes,no,2024/05/31 08:56,0
B00GEKV9KK,13.95,0,2023-06-15 14:20:56,y,0.63,2364.0,4.6,140.0,0.0,no,HARIBO,no,no,2022/10/22 20:10,1
B00UJEJEUE,16.45,0,2023-06-23 22:45:21,y,0.0,16271.0,4.5,1121.0,15.0,yes,Chio,yes,no,2024/04/06 06:36,1
B01FD6CQ6Q,6.89,3,2023-06-23 23:05:15,y,0.0,1861.0,4.4,1573.0,3.0,no,Chio,no,no,2011/01/01 01:00,1
B0046BMOZS,16.89,1,2023-06-26 14:49:28,y,0.0,110655.0,4.5,30.0,1.0,no,Teekanne,no,no,2024/05/01 06:02,0
B0032WCERU,9.9,223,2023-06-30 21:32:25,y,33.22,1843.0,4.6,880.0,23.0,yes,Bunte Welt,yes,no,2024/05/11 23:36,1
B07YQ8M1P1,9.42,35,2023-06-30 21:36:46,y,0.0,560.0,4.5,847.0,23.0,yes,Bunte Welt,yes,no,2024/04/10 20:36,1
B071JDVTDN,38.99,4,2023-06-30 21:40:57,y,0.0,128553.0,4.0,26.0,4.0,no,Bunte Welt,no,no,2024/05/28 21:20,0
B071JDVTDP,37.89,10,2023-06-30 21:42:37,y,0.0,135754.0,4.0,3.0,1.0,no,Bunte Welt,no,no,2024/06/04 10:56,1
B008JZWS0S,13.98,0,2023-06-30 21:55:21,y,7.84,11258.0,4.3,39.0,200.0,no,KRÜGER,no,no,2024/05/31 22:00,1
B004NJ69UE,9.99,0,2023-07-12 15:04:58,y,10.71,9037.0,4.5,103.0,133.0,no,Krüger,no,no,2024/06/01 17:24,1
B08DHC8K1C,20.49,66,2023-07-19 15:43:35,y,1.8,4266.0,4.0,27.0,697.0,no,Sidolin,no,no,2024/05/31 22:40,1
B0C14NRF68,48.49,0,2023-07-22 20:45:33,y,95.0,99375.0,3.5,2.0,1.0,no,Pringles,no,no,2024/04/25 07:28,1
B074MZVYS5,44.89,0,2023-07-22 21:06:33,y,3.38,7440.0,3.9,83.0,0.0,no,Pringles,no,no,2024/06/04 06:36,1
B07MR58RT2,48.49,0,2023-07-22 21:11:02,y,72.83,34041.0,4.3,78.0,1.0,no,Pringles,no,no,2024/06/02 06:44,1
B07M9KZGDT,43.49,0,2023-07-22 21:14:41,y,60.26,4528.0,4.3,12701.0,8.0,no,Pringles,no,no,2024/06/03 16:56,1
B0C14PG878,48.49,0,2023-07-22 21:37:38,y,43.33,235033.0,5.0,1.0,0.0,no,Pringles,no,no,2024/04/12 12:28,0
B005UNH0NM,5.49,0,2023-08-04 08:49:44,y,21.96,459.0,3.7,1623.0,852.0,yes,Falim,yes,no,2024/06/04 03:00,1
B00VU2Z85Y,13.69,0,2023-08-11 09:26:22,y,5.09,6921.0,4.3,102.0,35.0,no,Trolli,no,no,2024/06/04 06:56,1
B01D1QQU4O,12.89,0,2023-08-11 09:33:03,y,22.0,92912.0,3.8,19.0,3.0,no,Trolli,no,no,2024/06/04 10:24,1
B06XVJBCHX,12.89,0,2023-08-11 09:35:51,y,3.48,1019.0,4.5,368.0,58.0,no,Trolli,no,no,2024/06/04 04:38,1
